 title, type, socket, performance, cores, year, price, power
Xeon Gold 6438N,серверный,Intel Socket 4677,34.13,32 / 64,2023,−,205 W
Xeon Gold 5412U,серверный,Intel Socket 4677,34.10,24 / 48,2023,−,185 W
Xeon Gold 6348,серверный,Intel Socket 4189,33.80,28 / 56,2021,2292 USD,235 W
EPYC 7F72,серверный,AMD Socket SP3,33.69,24 / 48,2020,3364 USD,240 W
Ryzen 9 7900X,десктопный,AMD Socket AM5,33.54,12 / 24,2022,540 USD,170 W
Core i9-13900F,десктопный,Intel Socket 1700,33.35,24 / 32,2023,435 USD,65 W
Xeon Platinum 8180M,серверный,Intel Socket 3647,33.26,28 / 56,2017,1500 USD,205 W
EPYC 4484PX,серверный,AMD Socket AM5,33.05,12 / 24,2024,−,120 W
EPYC 7552,серверный,AMD Socket TR4,33.04,48 / 96,2019,1739 USD,200 W
Core i9-14900F,десктопный,Intel Socket 1700,32.99,24 / 32,−,530 USD,65 W
EPYC 4464P,серверный,AMD Socket AM5,32.85,12 / 24,2024,−,105 W
EPYC 7453,серверный,AMD Socket SP3,32.70,28 / 56,2021,3467 USD,225 W
Ryzen 9 7900X3D,десктопный,AMD Socket AM5,32.59,12 / 24,2023,470 USD,120 W
EPYC 7502P,серверный,AMD Socket TR4,32.57,32 / 64,2019,1699 USD,180 W
EPYC 7413,серверный,AMD Socket SP3,32.47,24 / 48,2021,2853 USD,180 W
Ryzen Threadripper PRO 5955WX,серверный,AMD Socket WRX8,32.36,16 / 32,2022,1197 USD,280 W
Core i9-14900,десктопный,FCLGA1700,31.67,/,2024,602 USD,−
Ryzen 9 7900,десктопный,AMD Socket AM5,31.58,12 / 24,2023,528 USD,65 W
Xeon E7-4880 v2,серверный,FCLGA2011,31.31,/,2014,770 USD,−
Xeon Gold 6314U,серверный,Intel Socket 4189,31.04,32 / 64,2021,−,205 W
EPYC 7452,серверный,AMD Socket TR4,31.00,32 / 64,2019,1827 USD,155 W
Ryzen 9 PRO 7945,серверный,AMD Socket AM5,30.99,12 / 24,2023,−,65 W
Core i9-13900,десктопный,Intel Socket 1700,30.83,24 / 32,2023,501 USD,125 W
EPYC 7542,серверный,SP3,30.79,32 / 64,2019,2197 USD,225 W
Core i9-13980HX,для ноутбуков,Intel BGA 1964,30.63,24 / 328 x 5.6 GHz Intel Raptor Cove P-Core16 x 4.0 GHz Intel Gracemont E-Core,2023,−,55 W
Xeon Gold 6342,серверный,Intel Socket 4189,30.59,24 / 48,2021,4256 USD,230 W
Core i9-14900HX,для ноутбуков,BGA1964,30.45,24 / 328 x 5.8 GHz Intel Raptor Cove P-Core16 x 4.1 GHz Intel Gracemont E-Core,2024,−,55 W
EPYC 7502,серверный,AMD Socket TR4,30.40,32 / 64,2019,3299 USD,180 W
Xeon w5-2465X,серверный,Intel Socket 4677,30.34,16 / 32,2023,1472 USD,200 W
Xeon Gold 6256,серверный,FCLGA3647,30.24,/,2020,3724 USD,−
Xeon Platinum 8368Q,серверный,Intel Socket 4189,30.18,38 / 76,2021,−,270 W
Xeon w5-3435X,серверный,Intel Socket 4677,30.12,16 / 32,2023,1654 USD,270 W
Core i7-13700K,десктопный,Intel Socket 1700,30.09,16 / 248 x 5.4 GHz Intel Raptor Cove P-Core8 x 3.4 GHz Intel Gracemont E-Core,2022,474 USD,125 W
Core i7-13700KF,десктопный,Intel Socket 1700,29.97,16 / 24,2022,421 USD,125 W
Core i7-13790F,десктопный,Intel Socket 1700,29.81,16 / 24,−,−,65 W
EPYC 73F3,серверный,AMD Socket SP3,29.81,16 / 32,2021,6522 USD,240 W
EPYC 7402,серверный,AMD Socket TR4,29.76,24 / 48,2019,890 USD,180 W
Xeon Gold 6526Y,серверный,Intel Socket 4677,29.76,16 / 32,2023,−,195 W
Ryzen 9 7845HX,для ноутбуков,AMD Socket FL1,29.67,12 / 24,2023,−,55 W
Core i7-14700,десктопный,Intel Socket 1700,29.57,20 / 28,−,480 USD,65 W
Xeon W-3345,серверный,Intel Socket 4189,29.54,24 / 48,2021,−,250 W
Ryzen 9 5950X,десктопный,AMD Socket AM4,29.52,16 / 32,2020,704 USD,105 W
Xeon Gold 6336Y,серверный,Intel Socket 4189,29.43,24 / 48,2021,3149 USD,185 W
Xeon w7-3445,серверный,Intel Socket 4677,29.21,20 / 40,2023,−,270 W
Xeon Silver 4416+,серверный,Intel Socket 4677,29.17,20 / 40,2023,−,165 W
Xeon Gold 6538N,серверный,Intel Socket 4677,29.02,32 / 64,2023,−,205 W
Core i7-14700F,десктопный,Intel Socket 1700,28.96,20 / 28,−,370 USD,65 W
Core i9-13900HX,для ноутбуков,Intel BGA 1964,28.87,24 / 328 x 5.4 GHz Intel Raptor Cove P-Core16 x 3.9 GHz Intel Gracemont E-Core,2023,−,55 W
Xeon Gold 5418Y,серверный,Intel Socket 4677,28.76,24 / 48,2023,3680 USD,185 W
