Название видеокарты,Видеопамять,Тип видеопамяти,Эффективная частота памяти,Пропускная способность памяти,Ширина шины памяти,Поддержка DirectX,Поддержка SLI/CrossFire,Разъёмы питания,Охлаждение,Количество вентиляторов,Длина видеокарты,Высота видеокарты,Базовая (референсная) частота графического процессора,Максимальная частота графического процессора,Количество потоковых процессоров,Количество RT-ядер,Рекомендуемый блок питания,Толщина системы охлаждения,Толщина видеокарты,Низкопрофильная (Low Profile),Функциональные особенности,Энергопотребление,Частота графического процессора,Частота памяти,Мощность блока питания,Turbo-частота графического процессора,Максимальное энергопотребление,Энергопортебление
Видеокарта ASUS Dual GeForce RTX 4060 Ti V2 OC Edition 8GB GDDR6 DUAL-RTX4060TI-O8G-V2,8 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,202 мм,120 мм,2 310 МГц,2 595 МГц,4 352,34,650 Вт,2 слота,40.1 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта NVIDIA RTX A4000 16GB GDDR6 900-5G190-1700-000,16 ГБ,GDDR6,,448 ГБ/с,256 бит,12,,6 pin,воздушное,1,241 мм,,,,6 144,48,,1 слот,,,поддержка DLSS,,,,,,,
Видеокарта Inno3D RTX 4080 Super X3 OC N408S3-166XX-187049N,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,336 мм,145 мм,2 295 МГц,2 580 МГц,10 240,80,750 Вт,3 слота,60 мм,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта AFOX GeForce GTX 1650 4GB GDDR6 AF1650-4096D6H1-V8,4 ГБ,GDDR6,12 000 МГц,128 ГБ/с,128 бит,12,,6 pin,воздушное,2,,,1 410 МГц,1 665 МГц,896,,300 Вт,2 слота,,Нет,поддержка FSR,,,,,,,
Видеокарта AFOX GeForce GTX 1050 Ti 4GB GDDR5 AF1050TI-4096D5H5-V4,4 ГБ,GDDR5,7 000 МГц,,128 бит,12,,Нет,воздушное,2,,,1 290 МГц,1 392 МГц,768,,300 Вт,2 слота,,Нет,поддержка FSR,,,,,,,
Видеокарта Gainward GeForce RTX 4060 Ti Ghost 8GB NE6406T019P1-1060B,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,249.9 мм,128.1 мм,2 310 МГц,2 535 МГц,4 352,34,650 Вт,2 слота,40.2 мм,Нет,поддержка DLSS,160 Вт,,,,,,
Видеокарта ZOTAC GeForce RTX 3050 Eco ZT-A30500K-10M,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,,6 pin,воздушное,2,222.3 мм,116.8 мм,1 550 МГц,1 777 МГц,2 560,20,450 Вт,2 слота,41.4 мм,Нет,"поддержка DLSS, поддержка FSR",115 Вт,,,,,,
Видеокарта Gainward GeForce RTX 4060 Ti Pegasus 8GB NE6406T019P1-1060E,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,1,169.9 мм,124.1 мм,2 310 МГц,2 535 МГц,4 352,34,650 Вт,2 слота,38.8 мм,Нет,поддержка DLSS,160 Вт,,,,,,
Видеокарта ASUS Dual GeForce RTX 4070 Super Evo 12GB GDDR6X DUAL-RTX4070S-12G-EVO,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,2,227.2 мм,123.24 мм,1 980 МГц,2 505 МГц,7 168,56,750 Вт,2.5 слота,49.6 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта ASUS Dual GeForce RTX 4060 Ti 16GB GDDR6 DUAL-RTX4060TI-16G,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,227.2 мм,123.24 мм,2 310 МГц,2 535 МГц,4 352,34,650 Вт,2.5 слота,49.6 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта MSI GeForce RTX 4070 Super 12G Gaming X Slim White,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,307 мм,125 мм,1 980 МГц,2 655 МГц,7 168,56,650 Вт,2.1 слота,46 мм,Нет,поддержка DLSS,245 Вт,,,,,,
Видеокарта ZOTAC Gaming GeForce GTX 1650 AMP Core 4GB GDDR6 ZT-T16520J-10L,4 ГБ,GDDR6,12 000 МГц,128 ГБ/с,128 бит,12,Нет,6 pin,активное,2,162.4 мм,115.2 мм,,,896,,350 Вт,2 слота,,,,,1 485 МГц,,,1 725 МГц,,
Видеокарта ASRock Radeon RX 7900 GRE Challenger 16GB OC RX7900GRE CL 16GO,16 ГБ,GDDR6,18 000 МГц,576 ГБ/с,256 бит,12 Ultimate,,8+8 pin,воздушное,2,269 мм,130 мм,1 287 МГц,2 293 МГц,5 120,80,750 Вт,2.55 слота,51 мм,Нет,поддержка FSR,,,,,,,
Видеокарта Gainward GeForce RTX 3050 Pegasus 6GB NE63050018JE-1070E,6 ГБ,GDDR6,14 000 МГц,168 ГБ/с,96 бит,12 Ultimate,,Нет,воздушное,2,162 мм,117 мм,1 040 МГц,1 470 МГц,2 304,18,300 Вт,2 слота,40 мм,Нет,"поддержка DLSS, поддержка FSR",70 Вт,,,,,,
Видеокарта Leadtek Quadro P620 2GB GDDR5,2 ГБ,GDDR5,,,128 бит,12,Нет,Нет,активное,1,,,,,512,,,1 слот,,Да,,,,,,,40 Вт,
Видеокарта ASRock Radeon RX 7900 GRE Steel Legend 16GB OC RX7900GRE SL 16GO,16 ГБ,GDDR6,18 000 МГц,576 ГБ/с,256 бит,12 Ultimate,,8+8 pin,воздушное,3,304 мм,131 мм,1 287 МГц,2 333 МГц,5 120,80,800 Вт,2.8 слота,56 мм,Нет,поддержка FSR,,,,,,,
Видеокарта AFOX GeForce GTX 1650 4GB GDDR6 AF1650-4096D6H3-V4,4 ГБ,GDDR6,12 000 МГц,192 ГБ/с,128 бит,12,,,воздушное,2,,,1 410 МГц,1 590 МГц,896,,,2 слота,,,поддержка FSR,,,,,,,
Видеокарта MSI GeForce RTX 4060 Aero ITX 8G OC,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,1,167 мм,111 мм,1 830 МГц,2 505 МГц,3 072,24,550 Вт,2 слота,43 мм,Нет,поддержка DLSS,115 Вт,,,,,,
Видеокарта ASRock Radeon RX 6750 GRE Challenger 10GB OC RX6750GRE CL 10GO,10 ГБ,GDDR6,16 000 МГц,320 ГБ/с,160 бит,12 Ultimate,,8 pin,воздушное,2,269 мм,130 мм,1 941 МГц,2 495 МГц,2 304,36,650 Вт,2 слота,41 мм,Нет,поддержка FSR,170 Вт,,,,,,
Видеокарта NVIDIA RTX A4000 16GB GDDR6 699-5G190-0510-700R,16 ГБ,GDDR6,,448 ГБ/с,256 бит,12,Да (NVLink),6 pin,воздушное,1,241 мм,112 мм,,,6 144,48,,1 слот,,,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта PowerColor Fighter Radeon RX 6700 10GB GDDR6 10GBD6-3DH/OC,10 ГБ,GDDR6,16 000 МГц,320 ГБ/с,160 бит,12 Ultimate,Нет,6+8 pin,воздушное,2,228 мм,109 мм,1 941 МГц,2 495 МГц (в режиме Boost),2 304,36,650 Вт,2 слота,32 мм,Нет,поддержка FSR,,,,,,,
