Название видеокарты,Видеопамять,Тип видеопамяти,Эффективная частота памяти,Пропускная способность памяти,Ширина шины памяти,Поддержка DirectX,Поддержка SLI/CrossFire,Разъёмы питания,Охлаждение,Количество вентиляторов,Длина видеокарты,Высота видеокарты,Базовая (референсная) частота графического процессора,Максимальная частота графического процессора,Количество потоковых процессоров,Количество RT-ядер,Рекомендуемый блок питания,Толщина системы охлаждения,Толщина видеокарты,Низкопрофильная (Low Profile),Функциональные особенности,Энергопотребление,Частота графического процессора,Частота памяти,Мощность блока питания,Turbo-частота графического процессора,Максимальное энергопотребление,Энергопортебление
Видеокарта PNY Nvidia T1000 4GB GDDR6 VCNT1000-SB,4 ГБ,GDDR6,,160 ГБ/с,128 бит,12,Нет,Нет,активное,1,,,,,896,,,1 слот,,Да,,,,,,,,
Видеокарта NVIDIA Quadro T400 2GB GDDR6 900-5G172-2200-000,2 ГБ,GDDR6,,80 ГБ/с,64 бит,12,Нет,Нет,воздушное,1,,,,,384,,,1 слот,,Да,,,,,,,,
Видеокарта ASUS GeForce GT 1030 2GB DDR4 GT1030-SL-2GD4-BRK,2 ГБ,DDR4,2 100 МГц,,64 бит,12,Нет,Нет,пассивное,,173 мм,69 мм,1 227 МГц,1 417 МГц,384,,300 Вт,2 слота,,Да,,,,,,,,
Видеокарта PNY GeForce RTX 4070 12GB Verto Dual Fan VCG407012DFXPB1,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,8 pin,воздушное,2,247.41 мм,120.35 мм,1 920 МГц,2 475 МГц,5 888,46,650 Вт,2 слота,40.78 мм,Нет,поддержка DLSS,200 Вт,,,,,,
Видеокарта AFOX Radeon R5 220 1GB DDR3 AFR5220-1024D3L5,1 ГБ,GDDR3,1 333 МГц,166 ГБ/с,64 бит,11.2,Нет,Нет,активное,1,168 мм,,,,160,,350 Вт,1 слот,,Нет,,,650 МГц,,,,,
Видеокарта AFOX GeForce GT 730 4GB DDR3 AF730-4096D3L5,4 ГБ,GDDR3,,,64 бит,12,Нет,Нет,активное,1,145 мм,,,,384,,300 Вт,2 слота,,Да,,,700 МГц,667 МГц,,,,
Видеокарта Sinotex Ninja GeForce GT 210 1GB DDR3 NF21NP013F,1 ГБ,DDR3,1 000 МГц,,64 бит,10.1,,Нет,воздушное,1,160 мм,70 мм,589 МГц,,16,,,1 слот,20 мм,Да,,,,,,,,
Видеокарта Colorful iGame GeForce RTX 4070 Ti Vulcan OC-V,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,Нет,16 pin,воздушное,3,348.5 мм,159.5 мм,2 310 МГц,2 775 МГц,7 680,60,750 Вт,3 слота,60.6 мм,Нет,поддержка DLSS,310 Вт,,,,,,
Видеокарта MSI GeForce RTX 3050 LP 6G OC,6 ГБ,GDDR6,14 000 МГц,168 ГБ/с,96 бит,12 Ultimate,,Нет,воздушное,2,174 мм,69 мм,1 040 МГц,1 492 МГц,2 304,18,,2 слота,42 мм,Да,"поддержка DLSS, поддержка FSR",70 Вт,,,,,,
Видеокарта AFOX GeForce GT220 1GB GDDR3 AF220-1024D3L2,1 ГБ,GDDR3,,,128 бит,10.1,Нет,Нет,активное,1,145 мм,,,,48,,,1 слот,,Да,,,625 МГц,800 МГц,,,,
Видеокарта NVIDIA Tesla T4 16GB GDDDR6 900-2G183-0000-000,16 ГБ,GDDR6,,,256 бит,12,,Нет,пассивное,,169.53 мм,68.9 мм,,,2 560,,,,,Нет,,,,,,1 590 МГц,,
Видеокарта Gigabyte GeForce GT 730 2GB DDR3 GV-N730D3-2GI (rev. 3.0),2 ГБ,DDR3,,,64 бит,12,Нет,Нет,активное,1,177 мм,120 мм,,,384,,300 Вт,1 слот,,,,,902 МГц,900 МГц (1800 МГц DDR),,,,
Видеокарта MSI Radeon RX 7900 XTX Gaming Trio Classic 24G,24 ГБ,GDDR6,20 000 МГц,960 ГБ/с,384 бит,12 Ultimate,Да,8+8+8 pin,воздушное,3,325 мм,141 мм,1 855 МГц,2 500 МГц,6 144,96,800 Вт,3 слота,56 мм,Нет,поддержка FSR,355 Вт,,,,,,
Видеокарта ASUS Dual GeForce RTX 3050 8GB DUAL-RTX3050-8G,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,2,200 мм,123 мм,1 550 МГц,1 852 МГц,2 560,20,550 Вт,2 слота,,Нет,"DLSS, FSR",,,,,,,
Видеокарта MSI GeForce RTX 4080 Super 16G Ventus 3X OC,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,322 мм,136 мм,2 295 МГц,2 595 МГц,10 240,80,850 Вт,3 слота,62 мм,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта AFOX Radeon RX 550 8GB GDDR5 AFRX550-8192D5H4-V6,8 ГБ,GDDR5,6 000 МГц,112 ГБ/с,128 бит,12,,Нет,воздушное,2,,,1 090 МГц,1 183 МГц,512,,300 Вт,2 слота,,Нет,поддержка FSR,,,,,,,
Видеокарта MSI GeForce RTX 4060 Ti Ventus 3X 16G OC,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,3,308 мм,120 мм,2 310 МГц,2 625 МГц,4 352,34,550 Вт,2 слота,42 мм,Нет,поддержка DLSS,165 Вт,,,,,,
Видеокарта Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4G (rev. 3.0),4 ГБ,GDDR6,12 000 МГц,192 ГБ/с,128 бит,12,,8 pin,воздушное,2,224.5 мм,121.2 мм,1 410 МГц,1 620 МГц,896,,300 Вт,2 слота,36.4 мм,Нет,поддержка FSR,,,,,,,
Видеокарта Inno3D GeForce RTX 4060 Ti 8GB Twin X2 N406T2-08D6-171153N,8 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,250 мм,118 мм,2 310 МГц,2 535 МГц,4 352,34,550 Вт,2 слота,42 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Gigabyte Radeon RX 7900 XTX 24G Elite GV-R79XTXAORUS E-24GD,24 ГБ,GDDR6,20 000 МГц,960 ГБ/с,384 бит,12 Ultimate,Да,8+8+8 pin,воздушное,3,335 мм,137 мм,1 855 МГц,2 680 МГц,6 144,96,850 Вт,3.1 слота,69 мм,Нет,поддержка FSR,,,,,,,
Видеокарта NVIDIA RTX A2000 12GB GDDR6 900-5G192-2551-000,12 ГБ,GDDR6,,288 ГБ/с,192 бит,12,,Нет,воздушное,1,170 мм,,,,3 328,26,,2 слота,,Да,поддержка DLSS,,,,,,,
Видеокарта PowerColor Fighter AMD Radeon RX 7800 XT 16GB GDDR6 RX 7800 XT 16G-F/OC,16 ГБ,GDDR6,19 500 МГц,624.1 ГБ/с,256 бит,12 Ultimate,,8+8 pin,воздушное,3,303 мм,128 мм,1 295 МГц,2 475 МГц,3 840,60,750 Вт,2.3 слота,50 мм,Нет,поддержка FSR,,,,,,,
